For adding #3 AND #2 as key/value pair
For Querying #1 OR #2

GROUP; TYPE;  OSMKEY

emergency;dentist;amenity
emergency;doctors;amenity
emergency;emergency_phone;amenity
emergency;fire_station;amenity
emergency;hospital;amenity
emergency;pharmacy;amenity
emergency;police;amenity
emergency;telephone;amenity
food;biergarten;amenity
food;cafe;amenity
food;drinking_water;amenity
food;fast_food;amenity
food;food_court;amenity
food;pub;amenity
food;restaurant;amenity
leisure;10pin;sport
leisure;9pin;sport
leisure;athletics;sport
leisure;australian_football;sport
leisure;baseball;sport
leisure;basketball;sport
leisure;beachvolleyball;sport
leisure;boules;sport
leisure;chess;sport
leisure;climbing;sport
leisure;cricket;sport
leisure;cricket_nets;sport
leisure;croquet;sport
leisure;cycling;sport
leisure;equestrian;sport
leisure;football;sport
leisure;garden;leisure
leisure;golf;sport
leisure;golf_course;leisure
leisure;gymnastics;sport
leisure;hockey;sport
leisure;horse_racing;sport
leisure;motor;sport
leisure;multi;sport
leisure;park;leisure
leisure;pitch;leisure
leisure;playground;leisure
leisure;rugby;sport
leisure;shooting;sport
leisure;skateboard;sport
leisure;skating;sport
leisure;skiing;sport
leisure;soccer;sport
leisure;sports_centre;leisure
leisure;stadium;leisure
leisure;swimming;sport
leisure;table_tennis;sport
leisure;team_handball;sport
leisure;tennis;sport
leisure;volleyball;sport
leisure;water_park;leisure
locality;atm;amenity
locality;bank;amenity
locality;bicycle_parking;amenity
locality;brothel;amenity
locality;bureau_de_change;amenity
locality;cinema;amenity
locality;college;amenity
locality;courthouse;amenity
locality;kindergarten;amenity
locality;library;amenity
locality;nightclub;amenity
locality;post_box;amenity
locality;post_office;amenity
locality;school;amenity
locality;services;highway
locality;theatre;amenity
locality;toilets;amenity
locality;university;amenity
public_transport;aerodrome;aeroway
public_transport;bus_station;amenity
public_transport;bus_stop;highway
public_transport;halt;railway
public_transport;station;aerialway
public_transport;station;railway
public_transport;subway_entrance;railway
public_transport;terminal;aeroway
public_transport;tram_stop;railway
shop;alcohol;shop
shop;bakery;shop
shop;beverages;shop
shop;bicycle;shop
shop;books;shop
shop;butcher;shop
shop;car;shop
shop;chemist;shop
shop;clothes;shop
shop;computer;shop
shop;convenience;shop
shop;department_store;shop
shop;doityourself;shop
shop;dry_cleaning;shop
shop;electronics;shop
shop;florist;shop
shop;furniture;shop
shop;garden_centre;shop
shop;hairdresser;shop
shop;hardware;shop
shop;hifi;shop
shop;kiosk;shop
shop;laundry;shop
shop;mall;shop
shop;motorcycle;shop
shop;optician;shop
shop;organic;shop
shop;outdoor;shop
shop;shoes;shop
shop;sports;shop
shop;stationery;shop
shop;supermarket;shop
shop;toys;shop
shop;video;shop
tourism;alpine_hut;tourism
tourism;arts_centre;amenity
tourism;attraction;tourism
tourism;camp_site;tourism
tourism;caravan_site;tourism
tourism;chalet;tourism
tourism;guest_house;tourism
tourism;hostel;tourism
tourism;hotel;tourism
tourism;information;tourism
tourism;motel;tourism
tourism;museum;tourism
tourism;picnic_site;tourism
tourism;theme_park;tourism
tourism;viewpoint;tourism
tourism;zoo;tourism
transport;car_rental;amenity
transport;car_repair;shop
transport;car_sharing;amenity
transport;fuel;amenity
transport;parking;amenity
transport;taxi;amenity
